Direction;Tipe Cahaya;Cuaca;Fungsi Jalan;Kelas Jalan;Geometri Jalan;Tipe Jalan;Kecepatan;Jenis Jalan;Kecamatan;Jenis Luka ;Age;jenis kelamin;jenis kendaraan;Atribut_Keselamatan;Kepemilikan_SIM
Utara (0°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Nasional;Sidayu;Kecelakaan Ringan;;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Dukun;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Panceng;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Sidayu;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Kedamean;Kecelakaan Ringan;;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);60;Jalan Propinsi;Driyorejo;Kecelakaan Ringan ;17-25;Laki-laki;R2 (Sepeda Motor);Tidak;Iya
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Dukun;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Iya;Tidak
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Ujungpangkah;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Kolektor;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Propinsi;Panceng;Kecelakaan Ringan ;;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Dukun;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Desa;Ujungpangkah;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Driyorejo;Kecelakaan Ringan ;17-25;Perempuan;R2 (Sepeda Motor);Campuran;Campuran
Selatan (180°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Panceng;Kecelakaan Ringan ;26-45;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;benjeng;Kecelakaan Ringan ;17-25;Perempuan;R2 (Sepeda Motor);Tidak;Tidak
Selatan (180°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Manyar;Kecelakaan Ringan ;;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Kebomas;Kecelakaan Ringan ;26-45;Laki-laki;R2 (Sepeda Motor);Tidak;Tidak
Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Manyar;Kecelakaan Ringan ;26-45;Laki-laki;Jeep ( SUV );Iya;Tidak
